1 Stream,2 Streams,3 Streams,4 Streams,5 Streams,6 Streams,7 Streams,8 Streams,9 Streams,10 Streams,11 Streams,12 Streams,13 Streams,14 Streams,15 Streams,16 Streams
763.0766,429.8199,287.3026,218.7889,191.6262,164.0981,164.1277,111.8423,111.8833,111.9048,111.8433,109.4380,109.5240,109.4646,96.0123,56.5883
765.7308,437.4467,287.2392,218.7274,191.5791,164.0724,164.1871,111.9068,111.9007,111.9252,111.8638,109.4257,109.4605,109.4257,95.9416,56.6026
765.7339,437.4303,287.2330,218.7551,191.6017,164.0806,164.0653,111.9119,111.9355,111.8812,111.8464,109.4830,109.4943,109.4420,95.9457,56.6129
765.7277,437.4262,287.3211,218.7223,191.5771,164.1462,164.1339,111.8833,111.8689,111.8894,111.8587,109.4359,109.4892,109.4789,95.9611,56.6129
765.5373,437.3289,287.1982,218.6588,191.6140,164.1134,164.0735,111.8956,111.9201,111.8300,111.8730,109.4564,109.5455,109.4318,95.9416,56.6036
765.7626,437.4149,287.2832,218.7500,191.6590,164.0981,164.1380,111.8730,111.8536,111.8771,111.8198,109.4605,109.5506,109.4420,95.9652,56.6241
765.6171,437.3135,287.3365,218.7366,191.5883,164.1001,164.1308,111.8730,111.8915,111.8751,111.8587,109.4400,109.5168,109.4185,95.9580,56.5944
765.7441,437.4190,287.2259,218.7581,191.5761,164.1011,164.1318,111.9017,111.8638,111.8474,111.8536,109.4339,109.5199,109.4584,95.9703,56.5832
765.6642,437.3002,287.3303,218.7581,191.5699,164.1093,164.0776,111.8833,111.8956,111.8372,111.8802,109.4994,109.5332,109.4226,95.9826,56.6016
765.6981,437.4149,287.2832,218.7377,191.6170,164.1206,164.0970,111.8525,111.9099,111.9027,111.8607,109.3816,109.5342,109.4441,95.9754,56.6149
765.6448,429.7175,286.2817,218.5472,190.9330,163.9700,163.7919,111.5638,111.5955,111.8904,111.8536,109.4431,109.5578,109.4441,96.0020,56.6241
765.5311,437.5542,287.3733,218.7684,191.6037,164.1380,164.1390,111.8956,111.8781,111.8833,111.8413,109.4205,109.5352,109.4410,95.9959,56.6211
765.6694,437.5112,287.3037,218.7387,191.5699,164.1062,164.1534,111.8730,111.8976,111.8771,111.8444,109.4646,109.5178,109.4605,95.9816,56.6252
765.4492,429.7523,286.3913,218.4694,190.9453,163.9311,163.8011,111.5832,111.6160,111.6170,111.8259,109.4482,109.5526,109.4492,95.9447,56.5903
765.7779,437.4303,287.3713,218.7551,191.5965,164.0858,164.1042,111.8740,111.9078,111.8607,111.8597,109.4441,109.5567,109.4339,95.9304,56.5903
764.5327,429.6520,286.3299,218.5022,190.9545,163.9844,163.8175,111.6150,111.5576,111.5617,111.5320,109.3796,109.2936,109.2250,95.7676,56.6241
765.6653,437.3340,287.2525,218.7807,191.5587,164.0981,164.1492,111.8802,111.9171,111.8310,111.8362,109.4277,109.5127,109.4666,95.9478,56.6211
765.6591,437.4497,287.2760,218.7407,191.6150,164.1923,164.0653,111.8986,111.8423,111.8699,111.8280,109.4881,109.5383,109.4267,95.9734,56.6303
765.5956,437.4211,287.2986,218.7745,191.5771,164.0929,164.0724,111.9222,111.8863,111.8740,111.8638,109.4748,109.4717,109.4984,95.9427,56.6026
765.5864,437.4610,287.2842,218.7243,191.6436,164.1226,164.1718,111.8699,111.8659,111.8546,111.8372,109.4953,109.5393,109.4789,95.9928,56.6057
